country;country_code;admin_level;local_name;pcode_col;name_col;pcode_parent_col;name_parent_col;population_col;link;filter
Mauritania;MRT;2;;;;;;;http://data.humdata.org/dataset/8d49f50d-92a8-46d9-9462-f821a8058f6d/resource/f3586acb-27fc-4c49-a635-5ad33ad8f3f8/download/MRT_admbnd2_1m_Ocha.zip;0
Mauritania;MRT;3;;;;;;;http://data.humdata.org/dataset/8d49f50d-92a8-46d9-9462-f821a8058f6d/resource/b0b948ad-2310-45b2-beda-2cc6ea3e5146/download/MRT_admbnd3_1m_WFP.zip;0
Mexico;MEX;1;;;;;;;http://data.humdata.org/dataset/a032c739-d00a-4a91-847f-5f4870b18a27/resource/c8026b04-3311-40d7-a608-fe79b2948100/download/MEX_adm1.zip;0
Mexico;MEX;2;;;;;;;http://data.humdata.org/dataset/a032c739-d00a-4a91-847f-5f4870b18a27/resource/5c04e8f6-1e37-47cd-a114-cce380ff894e/download/MEX_adm2.zip;0
Mongolia;MNG;2;;;;;;;http://data.humdata.org/dataset/9844060e-a119-4999-b99c-aae33d357b91/resource/185f5d42-b6f6-4671-9794-ab10ab68d073/download/mng_admin2_Sum_nso_polygon.zip;0
Mongolia;MNG;1;;;;;;;http://data.humdata.org/dataset/e5c5e3d5-ee9d-4fd1-b7ad-cf64e44b3127/resource/b4662d73-6dde-4948-8c50-69e90216784a/download/Mongolia_admin_level_1_polygon.zip;0
Morocco;MAR;1;;;;;;;http://data.humdata.org/dataset/7fb8f891-35f2-4bd5-8c75-5e7797ff1731/resource/7091e335-fd67-4e00-84c1-7e766741e322/download/MAR_adm1.zip;0
Morocco;MAR;2;;;;;;;http://data.humdata.org/dataset/7fb8f891-35f2-4bd5-8c75-5e7797ff1731/resource/53b794ed-e432-481a-aea5-2f05938cf999/download/MAR_adm2.zip;0
Morocco;MAR;3;;;;;;;http://data.humdata.org/dataset/7fb8f891-35f2-4bd5-8c75-5e7797ff1731/resource/688de9be-9d88-40d8-8a3c-af69558efed8/download/MAR_adm3.zip;0
Mozambique;MOZ;2;;p_code;district;prov_code;province;pop_2007;http://data.humdata.org/dataset/c781a3f4-672e-4716-9364-88c26ae693f0/resource/46fd1371-377d-4e68-acb9-5c01232d79ae/download/moz_polbnda_adm2_districts_wfp_ine_pop2012_15_ocha.zip;1
Mozambique;MOZ;1;;hrpcode;hrname;hrparent;;;http://data.humdata.org/dataset/bd967796-fa5b-4633-929e-25ecec459f78/resource/8953ba0d-2ff4-4755-9089-beafc37776dd/download/moz_polbnda_adm1_provinces_WFP_OCHA_ROSA.zip;1
Myanmar;MMR;1;;;;;;;http://data.humdata.org/dataset/b3d665ad-a017-4deb-94b1-f6e0bfcbf3d5/resource/dd16d141-a2b1-47c5-a2b3-591caa5cf45e/download/mmr_adm1_states_regions2_mimu.zip;0
Myanmar;MMR;2;;;;;;;http://data.humdata.org/dataset/b3d665ad-a017-4deb-94b1-f6e0bfcbf3d5/resource/abe112e9-5f91-4093-9b58-d6946e74fdf6/download/mmr_adm2_districts_mimu.zip;0
Myanmar;MMR;3;;;;;;;http://data.humdata.org/dataset/b3d665ad-a017-4deb-94b1-f6e0bfcbf3d5/resource/84bbd7ea-e693-463c-843f-1dbb0509cce9/download/mmr_adm3_townships2_mimu.zip;0
Namibia;NAM;1;;hrpcode;hrname;hrparent;;;http://data.humdata.org/dataset/50fda5c8-bc93-48e7-b542-f123b2038350/resource/cd8ccf64-a2d4-4f20-8a1b-35e7168b9e8c/download/nam_polbna_adm1_regions_NamAtlas_OCHA_ROSA.zip;0
Nepal;NPL;3;;hrpcode;hrname;hrparent;;;http://data.humdata.org/dataset/b2c19438-3e3c-4553-8ddc-4a42a50acf00/resource/675aa4b1-0b28-4939-af64-d44079b850e3/download/npl-polbnda-adm3-dis-25k-50k-sdn-wgs84-shp.zip;0
Nepal;NPL;2;;hrpcode;hrname;hrparent;;;http://data.humdata.org/dataset/4dda502e-d891-479c-b044-24b90f41d9c1/resource/8db0ea32-f0c5-4958-9ef0-68d4260ba308/download/npl-polbnda-adm2-zon-25k-50k-sdn-wgs84-shp.zip;0
Nepal;NPL;1;;hrpcode;hrname;hrparent;;;http://data.humdata.org/dataset/029d6ddd-df26-4f00-8d10-b95c66a5c247/resource/aad689cc-4f3b-45f1-b807-f54cc53870f2/download/npl-polbnda-adm1-reg-25k-50k-sdn-wgs84-shp.zip;0
Niger;NER;1;;admin1pcod;admin1name;admin0pcod;admin0name;;http://data.humdata.org/dataset/c0e0998c-b45a-4aea-ac06-c1de1d94e596/resource/94e06212-3f8f-4c74-a433-1b132d059ea8/download/NER_admbnda_adm1_ignn_ocha_itos.zip;0
Niger;NER;2;;admin2pcod;admin1pcod;admin1name;;;http://data.humdata.org/dataset/c0e0998c-b45a-4aea-ac06-c1de1d94e596/resource/4b2bfec2-2f26-4354-bfe0-801f161c23fb/download/NER_admbnda_adm2_ignn_ocha_itos.zip;0
